"Form Title","Form Category","Form Number ","Form Type"
"SPC - INS3 - Notification of Reinstatement of Segregated Portfolios","Insurance","",""
"Incubator and Approved Funds (Form IB-A2-IAF)","Investment Business","",""
"Incubator Funds Application for Extension Form (Form IB-E1-IAF)","Investment Business","",""
"Approved Investment Manager Application Form (Revised Feb 2014)","Investment Business","",""
"Application by a Private/Professional Fund for Exemption of the Requirement to Appoint a Custodian","Investment Business","",""
"Application by a Private/Professional Fund for Exemption from Appointing a Fund Manager","Investment Business","",""
"SPC - INV1 - Application for Approval to Create Segregated Portfolios","Investment Business","",""
"SPC - INV3 - Notification of Termination of Segregated Portfolios","Investment Business","",""
"SPC - INV4 - Notification of Reinstatement of Segregated Portfolios","Investment Business","",""
"SPC - INV2 -  Notification of Creation of Segregated Portfolios","Investment Business","",""
"Private Investment Fund Application (Form IB/PIF-1)","Investment Business","IB/PIF-1",""
"Application for Approval of an Authorised Representative - Form D","Investment Business","",""
"Application to Act as Registered Agent for Micro Business Companies","Registry of Corporate Affairs","",""
"Approval as a Trade Mark Agent (Individual)","Registry of Corporate Affairs","",""
"Approval as a Trade Mark Agent (Companies or Partnerships)","Registry of Corporate Affairs","",""
"Director and Registered Agent Declaration Form","BVIBC Act Approved Forms","","Registry of Corporate Affairs"
"Segregated Portfolio Company (SPC) Directors Declaration Form","Registry of Corporate Affairs","",""
"Segregated Portfolio Company (SPC) Directors Declaration Form","Segregated Portfolio Company (SPC)","","Segregated Portfolio Company (SPC)"
"Segregated Portfolio Company (SPC) Directors Statement Form","Segregated Portfolio Company (SPC)","",""
"Director Certificate Form","BVIBC Act Approved Forms","","BVIBC Act Approved Forms"
